label,Tweet
2,gapaham kenapa negara lain bahkan pbb kes tutup mata dengan konflik israel-palestina itu udh tahun tahun gilaa
1,lawan palestina ini macam intifada jilid dan israel layak sebut bagai negara teroris israelnegarateroris
0,ya allah kapan ya konflik palestina israel bisa segera akhir
0,emang siapa yang bilang konflik israel-palestina itu konflik agama dari dulu juga kaya ini konflik wilayah deh tidak hubung dengan konflik yahudi-islam
2,sedih padahal palestina itu negara pertama yang bantu aku daulat indonesia kita bantu banget dulu tapi sekarang mereka begini
1,harus tau dulu sejarah bagaimana antara palestina dan israel memang tidak di benar kan untuk perang moga cepat selesai masalah turut duka bagi yang tinggal
0,kita semua tuju serang israel ke palestina itu adalah jahat
2,serang israel ke palestina tidak tahu oleh idol kpop biasa itu idol sayang pada kasih dukung kalau tragedi
1,tuju sikap indonesia tentang dan kutuk serang israel ke palestina jajah di atas dunia harus hapus arusbaik
2,gak pernah ngomongin konflik israel-palestina karena gak jelas dan simpang siur
1,jadi israel mau tingkat serang udara telah dapat rudal dari gaza yang jelas jelas di ledak di udara sama iron dome kalau pihak israelnya enggak pengaruh apa apa
1,konflik palestina dan israel tidak akan pernah damai sampai akhir zaman
2,isu konflik israel-palestina ujung selalu banding dengan isu papua dan minoritas tindas di mari yang di mana kaya tai kucing aja sih kalian gini-ginian masih aja pada adu narasi
2,satu hal yang gak pernah gua suka dari konflik israel palestina gaza adalah israel dan palestina gaza sama sama alat tempur
2,indonesia emang kalau apa cuma menang heboh doang tidak di bidang sepakbola dan konflik israel-palestina
0,moga damai segera wujud di palestina lepas apa sebab konflik sebut tidak harus sebab ancam nyaman hidup bahkan hilang nyawa my thoughts and prayers for human
1,di tingkat masyarakat pun begitu mayoritas masyarakat punya peduli besar pada bebas palestina selesai konflik di sana itu bagus atas nama manusia namun skali lagi
0,lepas dari nyinyir soal yang jadi di palestina bukan konflik agama lah
1,terlalu banyak hal yang gak gue tahu kait konflik israel-palestina jadi daripada gue speak up kait hal yang gak gua tahu
2,palestina ini konflik rumit papua juga rumit indonesia malah makin rumit
2,mana aja sby lama tahun kuasa rupa kenapa tidak pada saat pak sby kuasa selesai konflik antara israel dan palestina ngomong pakai kaca dong mungkin ini efek samping
1,amerika serikat anggap oleh banyak amat bagai hambat resolusi konflik palestina-israel sejak tahun
1,alangkah baik perintah indonesia seru kepada israel dan palestina untuk henti konflik senjata yang jadi saat ini
0,konflik palestina sudah luar nalar saya kenapa harus serang saat ibadah mana manusia itu
1,negara pegang veto sudah desak ada tindak khusus pada konflik sana dan amerika sudah jelas mulai goyah dan asa presiden sudah keluar statement nya
1,konflik palestina sama israel itu murni politik jadi guys tolong jangan liat dari sisi agama tentu di israel dan palestina itu kristen
2,konflik palestina keras militer hanya bisa henti dengan intervensi militer
1,baik pimpin tiap negara dorong genjatan sejata cepat duduk muslim palestina juga hak raya menang ramadhan dengan asa gembira freepalestine
1,harap saya moga konflik palestina dan israel ini ketemu titik terang dialog yang bisa laku sehingga segala bentuk keras bisa hindar amin
0,yang sedang jadi antara palestina dan israel adalah tentang rebut wilayah bukan perang antar agama ini orang orang malah bawa agama
1,genjatan sejata adalah tuju antara dua belah pihak untuk henti peperangan dan tidak guna senjata
1,soal palestina dan israel sampai kiamat gak bakal yang bisa selesai kecuali salah satu pihak gabung atau integrasi kemudian jadi satu negara besar tinggal
1,itu yang nama yahudi itu tidak mesti israel karena yahudi itu adalah ras bukan negara seperti hal arab
1,gue tau kalian pada sedang beri dukung kait situasi yang panas antara palestina dan israel tapi bukan arti ikut sebar hoax tanpa laku validasi sama sekali perang di sana bukan
1,sama gue bom bisa nentuin siapa yang bener dan salah dari baca informasi yang edar makanya kalem aja mantengin update berita palestina dan israel
0,loh ketika us jajah dan bantai indian di bilang aneksasi sementara umat islam rebut palestina dari orang romawi sebut jajah
2,harap sederhana saja anda saja selisih antara palestina dan israel ini bisa selesai dengan hompimpa betapa senang dunia ini yang tanpa perang
1,orang di negara ini lebih lihat konflik sebut dengan sentimen agama
1,habis itu keluar lagi tuding kalau israel bantai warga sipil palestina yang tidak dosa liat pola serang israel rudal mereka jelas ke arah titik yang duga tempat luncur roket hamas
2,konflik palestina dan israel dari lu masih bentuk seperms tahun lagi data lu dari mana jangan asal bicara malu sama jenggot
0,kata palestina israel bukan konflik agama tapi kenapa act for humanity selalu narasi seperti konflik agama orang muslimah seret dan borgol blablabla
1,kalau memang israel beri tau agar sipil palestina jauh dari hamas kenapa masih banyak sipil palestina yang mati karena kena bom kata ini bukan konflik agama lantas konflik apa
0,sejarah konflik israel palestina sebenernya panjang
1,yang jelas salah satu tanda kiamat adalah damai wilayah palestina dan israel dari sini mungkin kita bisa pikir tuhan masih beri kita banyak waktu untuk jadi khalifah
1,konflik palestina dan israel yang di sorot jurnalis tak perlu saya komen karena berita gak imbang alias tidak netral bodo amat
2,konflik palestina dan israel yang di sorot jurnalis tak perlu saya komen karena berita gak imbang alias tidak netral bodo amat
1,waris islam yang tanam dan mesti percaya dari konflik palestina-israel adalah kalau mereka damai arti kiamat tinggal ngitung hari selamat idul fitri
0,padahal beliau masuk pimpin yang benar benar dukung penuh juang palestina bahkan sering komunikasi dengan pimpin hamas walaupun juga tak bisa dipungkiri kerjasama antara turki dan israel masih sampai saat ini
1,mana teroris yang kata mau jihad ayo karena dengan ada konflik perang antara palestina dan israel kalian bs wujud juang jihat kalian karena kalau kalian memang betul mau jihad saat ini
2,mana teroris yang kata mau jihad ayo karena dengan ada konflik perang antara palestina dan israel kalian bisa wujud juang jihad kalian karena kslau kalian memang betul mau jihad saat ini waktu dan tempat yang pas kalau kalian mati insyaallah kalian mati syahid
2,memang konflik palestina-israel cara khusus dan hubung kuasa timur tengah cara umum pelik dan kusut mereka bisa saling tampak pihak di satu hal
2,lihat konflik israel dan palestina benar tidak sehitam-putih itu apalagi lihat dari media indonesia
0,aku mau adopsi satu anak palestina kalau misal memang jadi perang buka antara hammas dan israel kasi anak kecil mana masih muda harus ajar pegang senjata perang belum waktu biar sini aku adopsi daripada masa kecil penuh dengan kejam
1,kalau kasus palestina dan israel ini ya harus pihak tidak zona abu karena zona abu lebih bahaya dari lawan silah pilih yang mana gantung hati nurani masing
1,prihatin dengan korban sipil dari pihak palestina maupun israel tapi heran gue kok masih aja orang indonesia yang salah hamas padahal konflik ini udah cukup jelas antara yang kuat sewena
1,tidak semua karena israel konflik antara dua pihak fraksi utama palestina yaitu fatah dan hamas mayoritas peperangan adalah jadi di jalur gaza hamas yang lebih dahulu
1,mau rebut tanah palestina di al-qur an sih emang sudah di jelas ini bakal jadi dan israel emang asa gak punya tempat di muka bumi cmiiw dengar dari ceramah
2,agak susah untuk bilang tidak unsur agama di konflik palestina karena israel diri atas dasar klaim bahwa jerusalem dan sekitar adalah tanah yang janji tuhan untuk bangsa yahudi
2,benar mana banyak banget orang sok tau yang bilang harus indonesia kirim pasu ke palestina dong
1,propaganda halus dengan guna kata konflik guna media zionis bagai retorika propagandis untuk kabur represi israel kepada warga palestina bagai self-defense dan mendeko
1,terus meski kalau palestina donatur terus buat baik kalau israel nyerang terus kan sama aja bangun hancur bangun lagi hancur lagi kan sama aja israel dekat dulu sampai gak nyerang lagi baru donatur dana nya ke palestina dan israel tetap ditemenin arah
1,moga palestina dan israel segera damai
1,jarang yang tau kalau arab saudi dan israel itu buat kolonial inggeris karesten makanya arab saudi gak bela palestina tentu soedadang giat khilafahpancasila
1,live update kondisi perang di palestina dan israel ngeri doa saya untuk kalian para juang jihad palestin moga allah beri kalian menang syahid lah kalian di jalan allah
0,palestina itu negara merdeka dan sudah aku oleh pbb israel-palestina itu konflik wilayah dari negara negara palestina serang negara israel dengan roket rudal
1,aku pernah dengar ceramah kalau konflik palestina dan israel itu sudah di takdir allah dalam al-qur an serta alas dalam beberapa hadis yang arti ya emang sudah garis tuhan aja tidak tanya lain tapi kalau mau tau unsur lain atau apa yaa buku banyak
0,serang israel ke yerusalem adlh bentuk serang ke seluruh muslim lindung hormat yerusalem adalah wajib bagi tiap muslim kami akan terus sama sauda
1,dengan cara di luar proporsi dan jauh lebih besar daripada ketidakadilan yang jauh lebih dahsyat ini yang kita saksi akhir ini konflik yang terus tingkat antara israel dan palestina kuat besar
0,lihat polemik yang jadi antara palestina dan israel yang belum temu titik ujung
1,hamas sengaja jadi warga sipil palestina bagai tameng hidup supaya kalau warga jadi korban maka israel yang salah tapi beda dengan israel tentara di garis depan lindung warga sipil israel
1,rame soal palestina dan israel daripada orang palestina dan sakit oleh israel mending kita diam saja
0,daripada palestina dan israel tempur terus
2,nampak tak betapa bodoh tentera zionis hamas fokus untuk lumpuh israel dengan serang aset aset penting tapi israel dorang balas balik dengan serang bangun awam
2,ngomongin konflik israel-palestine sama aba bisa tau banyak fakta dan sejarah ngomongin konflik israel-palestine sama mama israel laknat
1,market besar mereka bukan arab lagi tapi turki indonesia dan pakistan untuk minta donasi arab kecuali iran sudah kerja sama dengan israel syarat yang utama dari israel adalah tidak beri dukung ke hamas erdogan minta kerjasama dengan israel tapi belum acc
1,diksi yang tepat bukan dar konflik antar agama gak bisa dipungkiri konflik israel dan palestina banyak sekali pengaruh unsur agama utama islam dan yahudi sama klaim tanah kan
1,konflik israel dan palestina lebih ke masalah tanah wilayah daripada agama mereka sama sama ingin tanah yang sekarang jadi wilayah israel dan palestina untuk jadi tempat tinggal dan men
2,palestina israel di pusingin terus
2,peristiwa palestina dan israel bilang mari kita bantu doa ketika pimpin kita jatuh dikit kamu caci maki sama nyinyir ah anjoooy gurun kamu
0,sistem tahan udara jarak pendek israel saat ini sudah kalah karena rugi biaya operasi iron dome sangat mahal jika banding dengan yang keluar biaya oleh hamas kita lihat selesai invasi finansial israel akan turun
1,malu rasa komentar soal masalah di luar macam palestina dan israel sedang dalam negeri aja masih ragu ini negara atau apa
1,gua heran sama pbb kata untuk misi damai dunia
2,gua heran sama pbb kata untuk misi damai dunia tapi sampai sekarang gak bebas itu palestina selalu di tindas israel bubar saja tu pbb kalau gak bisa damai palestina dan israel
0,palestina-israel bukan konflik agama
1,nah jujur gak suka sama muslim yang bilang gua mah netral soal konflik palestina-israel masalah iman itu antara bela yang hak dan yang bathil gak di sisi tengah
2,woyyy buat lu lu yang di pimpin pbb mending kalian pada bubar saja gak guna nya la ian gak bisa kasih solusi untuk palestina dan israel makin panas hati gua liat laku tentara israel
1,israel tempur lawan palestina banyak negara dukung dan mensupport palestina baik material maupun spiritual doa doa biar cepat akhir masalah palestina dan israel tp di negara kita masih perang anak muda antar kampung geng antar kampung medan jakarta sulawesi
1,memang gak guna itu pbb di diri udh tahun pbb di diri tapi apa konflik di palestina dan israel aja gk habis nya cintaperdamaian
1,saya gak suka sama laku israel dan pbb gak tindak tegas percuma itu pbb di diri umur sudah tahun tapi konflik di palestina dan israel belum juga kelar
1,sekali lagi ketika palestina dan israel konflik atau lebih tepat ketika israel serang dan bunuh para duduk palestina dunia barat hanya diam saja percaya ini bukan kali pertama savepalestine palestineunderattack palestinianslivesmatter
1,saya gak suka sama laku israel dan pbb gak tindak tegas percuma saja pbb di diri umur sudah tahun tapi konflik di palestina dan israel belum juga kelar
1,ini dia orang amerika si bela israel pantas saja pbb diam selesai konflik palestina-israel ini biang kerok biang kerok yang tebar zalim kuasa muka bumi ini
1,jauh belum hamas pun israel sudah lama jajah hamas adaiah masalah akibat konflik akar masalah karena hamas yang giring sy rasa perlu kaji lagi klaim tanah palestina perlu timbang mksd sy gin loh jangan terlalu hitam putih lihat masalah
1,banyak tempat serang hamas untuk lumpuh israel seperti labuh tangki minyak jambat dsb beda dengan zionis yang memang serang diam orang awam sasar mereka beda kita kesal orang awam yang mati tapi itu kena bukan memang mau kena atau sengaja kena
2,udh liat kok bg siapa yang goblok doi ngomong zionis tanpa tau arti apa padahal juga rakyat israel itu tidak semua benci muslim bahkan tolak keras konflik dengan palestine mereka hanya benci orang orang seperti hamas yang terlalu radikal
0,konflik israel palestina kembali bara mula dari yerusalem
1,tolong jangan adu domba kami yang agama muslim dengan agama lain hanya karena lihat konflik palestina dan israel hentikanperang savepalestine
1,dan israel juga rakus soal teritorial dan gak salah juga palestina tahan tapi harus pbb dengan kuat penuh dari kumpul bangsa
0,yang paham konflik antara israel dan palestina adalah soal agama
0,panjang hayat selalu siar konflik israel palestina peaceforpalestineandisrael
0,yang paham konflik antara israel dan palestina adalah soal agama itu tidak tepat simpul itu sih heuheu
0,that s all i just can say mari doa saudara kita di palestina dapat raya eid dengan hikmat dan moga konflik ini reda eid mubarak h for all muslim all over the world palestine
1,kita mungkin sudah dengar konflik palestina israel lebih dari dekade yang saat ini sedang panas indonesia sendiri sudah nyata sikap dar dulu lalu nyata presiden soekarno bahwa palestine
0,saat akhir pilih palestina banding uganda uganda hampir pilih pada tahun an itu karena alas agama jadi konflik palestina dengan si kunyuk sudah pasti landas agama kalau yang anggap konflik tsb bukan konflik agama org tsb sudah pasti ahistoris
0,benar ini bukan perang negara tapi perang antar oknum yang sudah racun masyarakat israel dan palestina sampai jadi konflik panjang
1,benar ini bukan perang negara tapi perang antar oknum yang udah racun masyarakat israel dan palestina sampai jadi konflik panjang radikalisme dan terorisme itu kait erat jadi jangan saling salah siapa yang apa
0,konflik israel dan palestina kalau klaim bukan landas agama
1,konflik israel dan palestina kalau klaim bukan landas agama hapus semua literasi cruscade hapus semua dokumen yang cantum nama king philip ii dan king richard i juga saladin rasa lebih paham dari zionis yang praktik janji lama betul aneh juga
1,orang muslim buat statemen bahwa konflik israel palestina itu bukan konflik agama sama aja bilang bahwa tumbuh ekonomi indonesia saat ini roket
0,lagi nunggu yang tweet begini konflik palestina dan israel itu hanya alih isu
1,ini gara gara inggris muak sama konflik yahudi zionis sama muslim palestina akhir serah sama united nations dan negara yang dateng tuju untuk bagi palestina dengan wilayah palestin israel yerusalem
2,bayangin berita ini tenggelam karena konflik palestina hahahaa parah itu negara ini
2,bayangin berita ini tenggelam karena konflik palestina hahahaa parah itu negara ini
2,yah jongos yahudi baik diam daripada di bully jangan ngetweet hal yang sensitif buat publik figur mau konflik agama atau manusia inti yahudi tuh rebut tanah palestina kasar rampok maling
1,konflik israel palestina dan usa iran bisa sebab perang lebih besar lagi mohon pbb segera damai mr abuti
1,konflik israel palestina dan usa iran bisa sebab perang lebih besar lagi mohon pbb segera damai mr abuti
1,yang jelas kita tidak harus pilih isu manusia atau langgar ham mana yang lebih penting atau patut jadi perhati segala bentuk langgar ham adalah langgar apa yang jadi di palestina sama sekali bukan konflik agama lain bersih etnik
2,nge beer yu sambil ngobrolin konflik palestina israel
1,turki selalu seperti itu ketika konflik israel palestina nyata nya tidak pernah berani konfrantasi langsung dengan israel
2,yang sempit jadi konflik sektarian tapi saya juga tidak dukung tindas hadap kelompok apa jadi saya tetap hormat sikap anda dukung palestina tapi bukan arti harus sampai hal yang ahistoris dalam dukung sesuatu terima kasih
2,tiap kali israel cabul janji gencat senjata dengan hamas dan bila bridged al-qassam fight back baru lah nanti israel minta gencat senjata balik kali ini kita tengok berapa lama dia tahan macam itu perangai zionis laknatullah
1,tiap warga negara memang wajar bila milik rasa nasionalisme dan cinta kepada negara nya masuk gal gadot lepas dari masalah israel vs palestina orang harus lihat dari tiap sudut pandang jangan terlalu cepat tarik konklusi
1,konflik baru ini sebab gara serang idf ke palestina ke rumah ibadah ke tempat suci ke orang yang lagi rayain ramadhan dengan suka cita tanpa sebab ketika serang balik malah playing victim
1,palestina dan israel tak kan pernah damai sampai kapan pun itu cuma mimpi tau bangsa anda itu bangsa yang di laknat allah swt jadi tidak usah sok jadi korban ok
0,pandang zakir naik tentang palestina dan israel yahudi behwa orng yahudi lah yang paling keras musuh trhdap kaum muslimin gal gadot idulfitri eidmubarak may allah
1,kok gak nulis tentang palestina itu konflik kuasa bukan agama justru itu manusia ko diem kan gak tahu sisi mana yang benar lepas mana yang benar anak tewas kena bom gak kau kecam eh kata kena roket sendiri halah ngomong karena korban islam kan eh anu
0,di palestina bukan hanya islam yahudi orthodok begitu juga di israel bukankah sudah tulis dalam al quran bahwa tidak akan selesai palestina dan israel selain daripada
1,sedikit info bahwa di palestina dua fraksi atau kubu yaitu hamas dan fatah hamas ini yang suka perang dan sumpah tidak akan diplomasi dengan israel sedang fatah ini ndak mau perang mau diplomasi
2,palestina butuh dukung dunia bukan cuma dukung dunia islam yang lagi acakadut masjid rusak tak arti itu pasti konflik agama sulit memang paham
2,palestina butuh dukung dunia masjid rusak tak arti itu pasti konflik agama sulit memang paham
1,sejak kapan juga konflik palestina-israel itu masalah etnis halu yahudi tinggal di palestina tentu itu sudah jadi sejak belum israel yang jadi masalah hubung kolonial dan ampas tanah dari masyarakat adat
0,note israel gak ingin ingin lihat konflik ini akhir sampai mereka telah ambil alih semua wilayah palestina dan belum lagi mereka akan terus main kartu korban untuk benar tindak itu
1,ini bukan soal botak substansi dari eskalasi duduk israel atas tanah palestina awal dari dogma tanah yang janji jadi pikir konflik israel palestina bukan konflik agama itu ambyar banget
1,media sama tokoh agama enggak harus bikin orang mikir konflik palestina sama israel itu konflik agama banyak tweetnya cuma nyinggung muslim
2,seperti yang gak rela kalau senjata di gaza asal dari hizbullah dan iran gue heran mereka ini lihat konflik palestina dari sisi apa
1,jadi semua konflik yang jadi antara israel-palestina awal asal dari jajah inggris di timur tengah again penajajahan dan kolonialisme milik dampak negatif yang sangat besar bagi beberapa negara yang jajah
1,ini akan tingkat konflik di wilayah duduk dan antara para mukim dan orang palestina yang tinggal di daerah ini apa yang paling takut oleh para pimpin israel
1,gue ini bukan asal bunyi aja karena yang gue ikut dari lingkar aktif palestina sendiri mereka selalu tidak jadi ini bagai konflik agama olah lu perang karena beda agama musuh antara muslm vs jews tapi hubung kolonialisme dan imperialisme
0,malah bikin makin jadi rumit perang yang tidak imbang begini
1,kalau yang maksud adalah wilayah yang nama palestina memang sudah tapi belum punya otoritas sendiri masih di bawah utsmaniyah sayang pasca utsmaniyah runtuh wilayah palestina di bawah otoritas inggris telah itu baru mulai konflik antara yahudi dan arab di wilayah sebut
1,emang kenapa sih harus tema dengan konflik agama emang kalau gak demikian jihad dukung palestina merdeka jadi invalid gitu di sini banyak
1,emang kenapa sih harus tema dengan konflik agama emang kalau gak demikian jihad dukung palestina merdeka jadi invalid gitu di sini banyak persepsi orang di indonesia gue lihat baik yang muslim maupun yang non-muslim sendiri untuk menlegimitasi dukung pada palestina
0,pbb larang jajah semenjak habis perang dunia dua dan israel laku itu kepada palestina gal gadot juga pilih kata tetangga daripada orang orang palestina turut saya ini
2,orang banyak pilih alas dalam lihat konflik palestina kenapa ganggu sekali jika yang lihat dari perspektif sejarah agama tanya yang kamu lontar tsb sdh simpang mana dan aneh
0,konflik antara israel sama palestina itu gak hubung sama agama tuhan
0,di mana konflik antara israel sama palestina tuh gak hubung sama agama tuhan lain manusia
0,orang pks yang bilang tragedi di palestina bukan konflik agama
2,jangan ngomongin konflik timur tengah kalau kamu sendiri masih egois ngedoain hanya muslim palestina
2,jangan ngomongin konflik timur tengah kalau lu sendiri masih egois ngedoain hanya muslim palestina
